Player,College,Year
Jamal Murray,Kentucky,2023
Nikola Jokić,,2023
Aaron Gordon,Arizona,2023
Kentavious Caldwell-Pope,Georgia,2023
Michael Porter Jr.,Missouri,2023
Bruce Brown,Miami (FL),2023
Jeff Green,Georgetown,2023
Christian Braun,Kansas,2023
Reggie Jackson,Boston College,2023
DeAndre Jordan,Texas A&M,2023
Peyton Watson,UCLA,2023
Zeke Nnaji,Arizona,2023
Ish Smith,Wake Forest,2023
Vlatko Čančar,,2023
Klay Thompson,Washington State,2022
Andrew Wiggins,Kansas,2022
Stephen Curry,Davidson,2022
Draymond Green,Michigan State,2022
Jordan Poole,Michigan,2022
Kevon Looney,UCLA,2022
Otto Porter Jr.,Georgetown,2022
Gary Payton II,Oregon State,2022
Nemanja Bjelica,,2022
Jonathan Kuminga,,2022
Damion Lee,Louisville,2022
Moses Moody,Arkansas,2022
Andre Iguodala,Arizona,2022
Juan Toscano-Anderson,Marquette,2022
Khris Middleton,Texas,2021
Jrue Holiday,UCLA,2021
Giannis Antetokounmpo,,2021
P.J. Tucker,Texas,2021
Brook Lopez,Stanford,2021
Pat Connaughton,Notre Dame,2021
Bobby Portis,Arkansas,2021
Bryn Forbes,Michigan State,2021
Jeff Teague,Wake Forest,2021
Donte DiVincenzo,Villanova,2021
Elijah Bryant,BYU,2021
Thanasis Antetokounmpo,,2021
Mamadi Diakite,Virginia,2021
Jordan Nwora,Louisville,2021
Sam Merrill,Utah State,2021
Justin Jackson,UNC,2021
Axel Toupane,,2021
Anthony Davis,Kentucky,2020
LeBron James,,2020
Kentavious Caldwell-Pope,Georgia,2020
Danny Green,UNC,2020
Alex Caruso,Texas A&M,2020
Kyle Kuzma,Utah,2020
Rajon Rondo,Kentucky,2020
Markieff Morris,Kansas,2020
Dwight Howard,,2020
JaVale McGee,Nevada,2020
J.R. Smith,,2020
Dion Waiters,Syracuse,2020
Jared Dudley,Boston College,2020
Quinn Cook,Duke,2020
Talen Horton-Tucker,Iowa State,2020
Kawhi Leonard,San Diego State,2019
Kyle Lowry,Villanova,2019
Pascal Siakam,New Mexico State,2019
Marc Gasol,,2019
Danny Green,UNC,2019
Fred VanVleet,Wichita State,2019
Serge Ibaka,,2019
Norman Powell,UCLA,2019
Jodie Meeks,Kentucky,2019
Patrick McCaw,UNLV,2019
Malcolm Miller,Holy Cross,2019
Eric Moreland,Oregon State,2019
Jeremy Lin,Harvard University,2019
Chris Boucher,Oregon,2019
Draymond Green,Michigan State,2018
Kevin Durant,Texas,2018
Klay Thompson,Washington State,2018
Stephen Curry,Davidson,2018
Andre Iguodala,Arizona,2018
Kevon Looney,UCLA,2018
Shaun Livingston,,2018
Nick Young,USC,2018
Quinn Cook,Duke,2018
David West,Xavier,2018
Jordan Bell,Oregon,2018
JaVale McGee,Nevada,2018
Zaza Pachulia,,2018
Patrick McCaw,UNLV,2018
Damian Jones,Vanderbilt,2018
Stephen Curry,Davidson,2017
Klay Thompson,Washington State,2017
Draymond Green,Michigan State,2017
Kevin Durant,Texas,2017
Andre Iguodala,Arizona,2017
David West,Xavier,2017
Shaun Livingston,,2017
Ian Clark,Belmont,2017
Zaza Pachulia,,2017
Patrick McCaw,UNLV,2017
JaVale McGee,Nevada,2017
Matt Barnes,UCLA,2017
James Michael McAdoo,UNC,2017
Damian Jones,Vanderbilt,2017
Matthew Dellavedova,Saint Mary's,2016
Channing Frye,Arizona,2016
Kyrie Irving,Duke,2016
LeBron James,,2016
Richard Jefferson,Arizona,2016
Dahntay Jones,Duke,2016
James Jones,Miami (FL),2016
Kevin Love,UCLA,2016
Jordan McRae,Tennessee,2016
Timofey Mozgov,,2016
Iman Shumpert,Georgia Tech,2016
J.R. Smith,,2016
Tristan Thompson,Texas,2016
Mo Williams,Alabama,2016
Stephen Curry,Davidson,2015
Draymond Green,Michigan State,2015
Klay Thompson,Washington State,2015
Harrison Barnes,UNC,2015
Andre Iguodala,Arizona,2015
Andrew Bogut,Utah,2015
Shaun Livingston,,2015
Leandro Barbosa,,2015
Festus Ezeli,Vanderbilt,2015
David Lee,Florida,2015
Marreese Speights,Florida,2015
Justin Holiday,Washington,2015
James Michael McAdoo,UNC,2015
Brandon Rush,Kansas,2015
Tim Duncan,Wake Forest,2014
Kawhi Leonard,San Diego State,2014
Tony Parker,,2014
Boris Diaw,,2014
Manu Ginóbili,,2014
Danny Green,UNC,2014
Tiago Splitter,,2014
Marco Belinelli,,2014
Patty Mills,Saint Mary's,2014
Matt Bonner,Florida,2014
Aron Baynes,Washington State,2014
Cory Joseph,Texas,2014
Jeff Ayres,Arizona State,2014
Austin Daye,Gonzaga,2014
LeBron James,,2013
Dwyane Wade,Marquette,2013
Chris Bosh,Georgia Tech,2013
Mario Chalmers,Kansas,2013
Ray Allen,UConn,2013
Norris Cole,Cleveland State University,2013
Shane Battier,Duke,2013
Udonis Haslem,Florida,2013
Chris Andersen,Blinn College,2013
Mike Miller,Florida,2013
Joel Anthony,UNLV,2013
Rashard Lewis,,2013
James Jones,Miami (FL),2013
LeBron James,,2012
Dwyane Wade,Marquette,2012
Mario Chalmers,Kansas,2012
Shane Battier,Duke,2012
Udonis Haslem,Florida,2012
Chris Bosh,Georgia Tech,2012
Mike Miller,Florida,2012
Joel Anthony,UNLV,2012
James Jones,Miami (FL),2012
Norris Cole,Cleveland State University,2012
Ronny Turiaf,Gonzaga,2012
Juwan Howard,Michigan,2012
Terrel Harris,Oklahoma State,2012
Dexter Pittman,Texas,2012
Dirk Nowitzki,,2011
Jason Kidd,California,2011
Shawn Marion,UNLV,2011
Jason Terry,Arizona,2011
Tyson Chandler,,2011
J.J. Barea,Northeastern University,2011
Peja Stojaković,,2011
DeShawn Stevenson,,2011
Brendan Haywood,UNC,2011
Brian Cardinal,Purdue,2011
Ian Mahinmi,,2011
Corey Brewer,Florida,2011
Kobe Bryant,,2010
Pau Gasol,,2010
Metta World Peace,St. John's,2010
Derek Fisher,Little Rock,2010
Lamar Odom,Rhode Island,2010
Andrew Bynum,,2010
Shannon Brown,Michigan State,2010
Jordan Farmar,UCLA,2010
Luke Walton,Arizona,2010
Sasha Vujačić,,2010
Josh Powell,NC State,2010
Adam Morrison,Gonzaga,2010
D.J. Mbenga,,2010
Kobe Bryant,,2009
Pau Gasol,,2009
Lamar Odom,Rhode Island,2009
Trevor Ariza,UCLA,2009
Derek Fisher,Little Rock,2009
Andrew Bynum,,2009
Luke Walton,Arizona,2009
Shannon Brown,Michigan State,2009
Jordan Farmar,UCLA,2009
Sasha Vujačić,,2009
Josh Powell,NC State,2009
D.J. Mbenga,,2009
Paul Pierce,Kansas,2008
Ray Allen,UConn,2008
Kevin Garnett,,2008
Rajon Rondo,Kentucky,2008
Kendrick Perkins,,2008
James Posey,Xavier,2008
P.J. Brown,Lousiana Tech,2008
Leon Powe,California,2008
Sam Cassell,Florida State,2008
Eddie House,Arizona State,2008
Glen Davis,LSU,2008
Tony Allen,Oklahoma State,2008
Tony Parker,,2007
Tim Duncan,Wake Forest,2007
Bruce Bowen,Cal State Fullerton,2007
Manu Ginóbili,,2007
Michael Finley,Wisconsin,2007
Fabricio Oberto,,2007
Robert Horry,Alabama,2007
Francisco Elson,California,2007
Brent Barry,Oregon State,2007
Jacque Vaughn,Kansas,2007
Matt Bonner,Florida,2007
Beno Udrih,,2007
Dwyane Wade,Marquette,2006
